Название аптеки,Адрес,Телефон,Цена
Минская Фармация Аптека N292,"Столбцы, ул. Социалистическая, 97, пом. 14",(01717) 76902,42.86 р.
Минская Фармация Аптека N32,"Марьина Горка, ул. Новая Заря, 6-57",(01713) 55026,42.86 р.
Минская Фармация Аптека N37,"Минск-Фрунзенский, аг. Ратомка, ул. Привокзальная, 13А",(017) 5159140,42.86 р.
Минская Фармация Аптека N63,"Дзержинск, д. Дворище, пер. Центральный, 13",(01716) 97822,42.86 р.
Минская Фармация Аптека N99,"Сеница, аг. Сеница, ул. Янки Купалы, 7, Поликлиника №1, 1 этаж",(017) 5101982,42.86 р.
Никамаксвит ЧТУП Аптека N1,"Кобрин, ул. Дзержинского, 68-53, ТЦ Алиса",(01642) 34990,42.87 р.
САВфарм ООО Аптека N3,"Новогрудок, ул. Волчецкого, 28А",(01597) 32550,42.90 р.
Фитос-А УП Аптека N1,"Брест, ул. Московская, 340",(0162) 500433,42.93 р.
Фитос-А УП Аптека N3,"Брест, пр-т Партизанский, 13",(0162) 259661,42.93 р.
Ледиком ООО Аптека N14,"Смиловичи, ул. Максима Горького, 2",(0171) 423260,от 42.96 р.
Планета Здоровья Аптека N32 ООО Космофарма,"Борисов, ул. Серебренникова, 9/32А",+375177754337,42.96 р.
АльфаАптека Аптека N2 ГаленаФарм ООО,"Пинск, ул. Первомайская, 53-39",(0165) 622850,42.96 р.
АльфаАптека Аптека N24 Фитобел ООО,"Барановичи, б-р Штоккерау, 3-1",(0163) 638439,42.96 р.
Гомельское УП Фармация Аптека N4/5,"Гомель, аг. Новая Гута, ул. Сожская, 9-1",(0232) 939020,42.98 р.
Гомельское УП Фармация Аптека N4/6,"Гомель, ул. Ильича, 275",(0232) 236205,42.98 р.
Гомельское УП Фармация Аптека N108,"Петриков, аг. Новоселки, пер. Молодежный, 6",(02350) 90138,42.98 р.
Гомельское УП Фармация Аптека N133,"Гомель, ул. 60 лет СССР, 11",(0232) 222491,42.98 р.
Гомельское УП Фармация Аптека N162/2,"Гомель, пл. Привокзальная, 3, в здании ЖД вокзала дальнего следования",(0232) 507525,42.98 р.
Гомельское УП Фармация Аптека N173,"Ельск, аг. Заширье, ул. 50 лет СССР, 46",(02354) 37550,42.98 р.
Гомельское УП Фармация Аптека N188,"Рогачев, ул. Ивана Богатырева, 113-133",(02339) 46304,42.98 р.
Гомельское УП Фармация Аптека N53/1,"Речица, ул. Трифонова, 117",(02340) 47939,42.98 р.
Гомельское УП Фармация Аптека N8/2,"Гомель, ул. Оськина, 22-109",(0232) 264767,42.98 р.
Гомельское УП Фармация Аптека N9/1,"Ветка, ул. Заслонова, 1д",(02330) 41031,42.98 р.
Гомельское УП Фармация Аптека N92,"Петриков, г.п. Копаткевичи, ул. Фрунзе, 3А",(02350) 95576,42.98 р.
АльфаАптека Аптека N10 Не Ска ООО,"Гомель, ул. Советская, 149, ТЦ Карусель, справа от входа в магазин ОМА",(0232) 556570,42.98 р.
Радикс Аптека N20 ООО Диалпро,"Минск-Партизанский, ул. Антоновская, 30-2Н",(017) 2340900,43.01 р.
Ремедика Бальзам ООО Аптека N10,"Брест, ул. Жукова, 7",(0162) 580689,43.02 р.
БелЛекоЦентр РУП Государственная аптека N23,"Барановичи, Р-4, 6-й км, 6, пом. 21, ТЦ Dovod",(0163) 634356,от 43.17 р.
Лотос-фарм ЧУТП Аптека N3 пятой категории,"Кобрин, ул. Парковая, 7/2",(01642) 36841,43.20 р.
АльфаАптека Аптека N2 ООО СпецАфармация,"Бобруйск, ул. Урицкого, 131А",(0225) 707019,43.23 р.
АльфаАптека Аптека N5 ГаленаФарм ООО,"Пинск, д. Пинковичи, ул. Лунинецкая, 182",(0165) 673385,43.23 р.
АльфаАптека Аптека N7 ГаленаФарм ООО,"Лунинец, ул. Баженовой, 7В, пом. 4, 5",(01647) 20918,43.23 р.
АльфаАптека Аптека N3 ГаленаФарм ООО,"Пинск, ул. Солнечная, 1",(0165) 648241,43.23 р.
АльфаАптека Аптека N4 ОДО Аленфарм плюс,"Барановичи, ул. Домейко, 1",(0163) 643176,43.23 р.
АльфаАптека Аптека N11 Фитобел ООО,"Боровляны, аг. Лесной, ул. Александрова, 10-81",(017) 3959066,43.23 р.
АльфаАптека Аптека N19 ОДО Аленфарм плюс,"Минск-Октябрьский, аг. Сеница, ул. Зеленая, 1-62",(017) 5144163,43.23 р.
АльфаАптека Аптека N10 ГаленаФарм ООО,"Брест, ул. Войкова, 79, к. 1",(0162) 431559,43.23 р.
АльфаАптека Аптека N33 Фитобел ООО,"Барановичи, ул. Борисовская, 4-1, мед. центр Лазарь",(0163) 658186,43.23 р.
Ремедика ЛКЛ ООО Аптека N25,"Минск-Центральный, Долгиновский тр-т, 188, ТЦ Миля, пом. 23",(017) 2506612,43.24 р.
Фитос-А УП Аптека N6,"Брест, пр-т Республики, 24",(0162) 527345,43.28 р.
Белана ООО ПКФ Аптека N11,"Брест, ул. Белорусская, 51Б-3, пом. 3-9, 3-10",(0162) 580253,от 43.29 р.
Михалевич ООО Аптека N3,"Поставы, ул. Юбилейная, 8/4",(0215) 525940,43.32 р.
Аптека Новая N10 ООО Пролайф,"Бобруйск, ул. Крупской, 2",(029) 1485976,43.33 р.
Гродненское РУП Фармация Аптека N12,"Щучин, г.п. Желудок, ул. Советская, 15-2",(01514) 79367,43.35 р.
Гродненское РУП Фармация Аптека N133,"Берестовица, аг. Большие Эйсмонты",(01511) 74544,43.35 р.
Гродненское РУП Фармация Аптека N182,"Свислочь, ул. 17 Сентября, 3/4",(01513) 77027,43.35 р.
Гродненское РУП Фармация Аптека N186,"Гродно, ул. Советских Пограничников, 115",(0152) 654582,43.35 р.
Гродненское РУП Фармация Аптека N188,"Гродно, аг. Обухово, ул. Центральная, 4А",(0152) 473945,43.35 р.
Гродненское РУП Фармация Аптека N224,"Волковыск, ул. Панковой, 57А-1, маг. Евроопт",(01512) 93869,43.35 р.
Гродненское РУП Фармация Аптека N225,"Волковыск, ул. Октябрьская, 55, пом. 68",(01512) 68246,43.35 р.
Гродненское РУП Фармация Аптека N239,"Березовка, ул. Школьная, 36",(0154) 621127,43.35 р.
Гродненское РУП Фармация Аптека N246,"Лида, ул. Фомичева, 4",(0154) 626044,43.35 р.
Гродненское РУП Фармация Аптека N48,"Зельва, аг. Князево, ул. Киселя, 32",(01564) 21016,43.35 р.
Гродненское РУП Фармация Аптека N7,"Берестовица, ул. Гагарина, 5",(01511) 74137,43.35 р.
Гродненское РУП Фармация Аптека N70,"Кореличи, д. Малые Жуховичи, ул. Мятя, 1",(01596) 76829,43.35 р.
Гродненское РУП Фармация Аптека N71,"Дятлово, г.п. Новоельня, ул. Ленина, 5",(01563) 69563,43.35 р.
Гродненское РУП Фармация Аптека N74,"Гродно, ул. Фомичева, 2, ТЦ Магнит",(0152) 662004,43.35 р.
Ремедика Бальзам ООО Аптека N12,"Брест, ул. Республиканская, 10Б-54",(0162) 574929,43.41 р.
Брестское РУП Фармация Аптека N245,"Кобрин, ул. Интернациональная, 92А, маг. Гермес",(01642) 36267,43.44 р.
Брестское РУП Фармация Аптека N283,"Брест, ул. Дубровская, 15А, маг. Санта",(0162) 237353,43.44 р.
Брестское РУП Фармация Аптека N37,"Кобрин, ул. Ленина, 29",(01642) 66656,43.44 р.
Брестское РУП Фармация Аптека N8,"Высокое, ул. Пушкинская, 2-2",(01631) 91386,43.44 р.
Радикс Аптека N11 ООО Диалпро,"Поставы, ул. Юбилейная, 30",(02155) 22374,от 43.44 р.
Планета Здоровья Аптека N3 ИООО АБФармация,"Барань, ул. Оршанская, 9, Магазин Евроопт",+375216556286,43.54 р.
Аптекарь Аптека-63 ОДО Аптека N18,"Житковичи, ул. Социалистическая, 23",(044) 7812982,43.60 р.
САВфарм ООО Аптека N7,"Новогрудок, ул. Франциска Скорины, 2А, пом. 49 ТЦ Пони",(01597) 49555,43.65 р.
Витебское УП Фармация Аптека N113,"Браслав, аг. Друя, ул. Володарского, 19",(02153) 64169,43.68 р.
Витебское УП Фармация Аптека N98,"Глубокое, г.п. Подсвилье, ул. Октябрьская, 59А",(02156) 39620,43.68 р.
Юнифарм ООО Аптека N35,"Барановичи, ул. Кирова, 102",(044) 5071535,43.71 р.
Экомаркет ООО Аптека N5,"Волковыск, ул. Ленина, 5-2",(044) 5072505,43.71 р.
Ремедика ЛКЛ ООО Аптека N5,"Минск-Центральный, ул. Червякова, 22-3Н",(017) 3755369,43.71 р.
Ремедика ЛКЛ ООО Аптека N12,"Борисов, пр-т Революции, 46-23",(0177) 755737,43.71 р.
Ледиком ООО Аптека N7,"Дружный пос., ул. Шамановского, 41а",(01713) 57297,43.74 р.
Брестское РУП Фармация Аптека N104,"Ольшаны, ул. Гагарина, 48, маг. Санта",(01655) 55413,43.84 р.
Брестское РУП Фармация Аптека N123,"Высокое, ул. Социалистическая, 40, маг. Санта",(01631) 72132,43.84 р.
Брестское РУП Фармация Аптека N153,"Кобрин, ул. Жукова, 11",(01642) 94569,43.84 р.
Брестское РУП Фармация Аптека N174,"Брест, ул. Красногвардейская, 113, к. 1-60",(0162) 513532,43.84 р.
Брестское РУП Фармация Аптека N178,"Пинск, ул. Рокоссовского, 33-1",(0165) 661942,43.84 р.
Брестское РУП Фармация Аптека N186,"Барановичи, ул. Брестская, 133/4, в здании гор. больницы",(0163) 632345,43.84 р.
Брестское РУП Фармация Аптека N188,"Брест, ул. Медицинская, 6/5, в здании онкодиспансера",(0162) 257712,43.84 р.
Брестское РУП Фармация Аптека N191,"Береза, ул. Ленина, 1, в здании поликлиники",(01643) 34518,43.84 р.
Брестское РУП Фармация Аптека N197,"Кобрин, ул. Дзержинского, 66, универмаг Крок ТП Надзея",(01642) 93331,43.84 р.
Брестское РУП Фармация Аптека N204,"Микашевичи, ул. Первомайская, 17В, маг. Санта",(01647) 30611,43.84 р.
Брестское РУП Фармация Аптека N232,"Брест, ул. Кижеватова, 76, в здании больницы N1",(0162) 350305,43.84 р.
Брестское РУП Фармация Аптека N234,"Кобрин, ул. Николаева, 50, ТЦ Полесье",(01642) 51975,43.84 р.
Брестское РУП Фармация Аптека N239,"Пинск, ул. Днепровской Флотилии, 51-50",(0165) 627055,43.84 р.
Брестское РУП Фармация Аптека N247,"Брест, ул. Спортивная, 6-25",(0162) 234658,43.84 р.
Брестское РУП Фармация Аптека N252,"Барановичи, ул. Фроленкова, 13, в здании ЖД вокзала",(0163) 641702,43.84 р.
Брестское РУП Фармация Аптека N275,"Ивацевичи, ул. Механизаторов, 7Е",(01645) 92790,43.84 р.
Брестское РУП Фармация Аптека N286,"Барановичи, ул. Коммунистическая, 21А, маг. Санта",(0163) 60-73-24,43.84 р.
Брестское РУП Фармация Аптека N34,"Брест, ул. Рябиновая, 1А, маг. Санта",(0162) 535326,43.84 р.
Брестское РУП Фармация Аптека N44,"Малорита, аг. Великорита, ул. Ленина, 2, в здании амбулатории",(01651) 69967,43.84 р.
Брестское РУП Фармация Аптека N6,"Брест, ул. Белова, 2, в здании поликлиники N2",(0162) 214044,43.84 р.
Брестское РУП Фармация Аптека N77,"Брест, ул. Сальникова, 14, маг. Санта",(0162) 593246,43.84 р.
Брестское РУП Фармация Аптека N79,"Пинск, аг. Парохонск, ул. Мелиораторов, 4",(0165) 678152,43.84 р.
Брестское РУП Фармация Аптека N91,"Пинск, аг. Молотковичи, пер. Владимировский, 3",(0165) 645199,43.84 р.
Брестское РУП Фармация Каменецкая ЦРА N16,"Каменец, пер. Чкалова, 5",(01631) 76003,43.84 р.
Брестское РУП Фармация Ляховичская ЦРА N56,"Ляховичи, ул. Ленина, 45-69",(01633) 21864,43.84 р.
Брестское РУП Фармация Пружанская ЦРА N7,"Пружаны, ул. Октябрьская, 60-49",(01632) 41449,43.84 р.
Брестское РУП Фармация Аптека N118,"Кобрин, ул. Советская, 136, маг. Евроопт",(01642) 38548,43.88 р.
Брестское РУП Фармация Аптека N127,"Кобрин, ул. Ленина, 17",(01642) 94414,43.88 р.
Брестское РУП Фармация Аптека N147,"Барановичи, ул. Мицкевича, 47",(0163) 423796,43.88 р.
Брестское РУП Фармация Аптека N158,"Брест, ул. Дубровская, 29, к. 1",(0162) 592446,43.88 р.
Брестское РУП Фармация Аптека N161,"Ивацевичи, ул. Черткова, 35, в здании поликлиники",(01645) 64709,43.88 р.
Брестское РУП Фармация Аптека N176,"Малорита, ул. Советская, 96, в здании поликлиники",(01651) 20498,43.88 р.
Брестское РУП Фармация Аптека N180,"Барановичи, ул. Советская, 121В, маг. Санта",(0163) 614158,43.88 р.
Брестское РУП Фармация Аптека N182,"Барановичи, ул. Максима Горького, 58, в здании центр. поликлиники",(0163) 633923,43.88 р.
Брестское РУП Фармация Аптека N190,"Брест, ул. Лактионова, 11, в здании поликлиники N6",(0162) 340105,43.88 р.
Брестское РУП Фармация Аптека N21,"Барановичи, ул. Тельмана, 15",(0163) 672757,43.88 р.
Брестское РУП Фармация Аптека N222,"Малорита, ул. Школьная, 27, маг. Санта",(01651) 62525,43.88 р.
Брестское РУП Фармация Аптека N259,"Пинск, ул. Первомайская, 173А, маг. Пинск",(0165) 630660,43.88 р.
Брестское РУП Фармация Аптека N26,"Брест, ул. Медицинская, 11, в здании кожвендиспансера",(0162) 539293,43.88 р.
Брестское РУП Фармация Аптека N270,"Ивацевичи, Яглевичский с/с, 5, маг. Марцiн",(01645) 94570,43.88 р.
Брестское РУП Фармация Аптека N4,"Брест, ул. Медицинская, 5, в здании консультативной поликлиники",(0162) 597922,43.88 р.
Брестское РУП Фармация Аптека N81,"Пинск, д. Погост-Загородский, ул. Первомайская, 10, в здании больницы",(0165) 655886,43.88 р.
Брестское РУП Фармация Аптека N85,"Микашевичи, ул. Первомайская, 1",(01647) 68266,43.88 р.
Брестское РУП Фармация Аптека N88,"Столин, д. Ольгомель, ул. Садовая, 2А",(01655) 68561,43.88 р.
Брестское РУП Фармация Лунинецкая ЦРА N68,"Лунинец, ул. Советская, 18, к. 1",(01647) 64087,43.88 р.
Брестское РУП Фармация Пинская ЦРА N134,"Пинск, ул. Центральная, 17Б",(0165) 635841,43.88 р.
Белана ООО ПКФ Аптека N15,"Брест, ул. Морозова, 27",(0162) 355710,от 43.93 р.
Минская Фармация Аптека N127,"Воложин, г.п. Ивенец, ул. 1 Мая, 5-50",(01772) 64326,43.94 р.
Минская Фармация Аптека N151,"Столбцы, д. Новоколосово, ул. Победы, 17-151",(01717) 32391,43.94 р.
Минская Фармация Аптека N154,"Заславль, ул. Советская, 24, пом. 1-7, 10, 11",(017) 5165185,43.94 р.
Минская Фармация Аптека N230,"Любань, ул. Первомайская, 97А",(01794) 61643,43.94 р.
Минская Фармация Аптека N286,"Мядель, ул. Крупской Н.К., 5, пом. 2",(01797) 40731,43.94 р.
Минская Фармация Аптека N31,"Дзержинск, пос. Энергетик, ул. Маяковского, 5-88",(01716) 77584,43.94 р.
Минская Фармация Аптека N35,"Смиловичи, ул. Революционная, 6",(01714) 23248,43.94 р.
Минская Фармация Аптека N36,"Вилейка, ул. Маркова, 20",(01771) 23903,43.94 р.
Минская Фармация Аптека N67,"Крупки, ул. Московская, 61",(01796) 25781,43.94 р.
Минская Фармация Аптека N85,"Солигорск, г.п. Старобин, ул. Больничная, 7",(01742) 96242,43.94 р.
Минская Фармация ЦРА N118,"Вилейка, ул. Льва Толстого, 47",(01771) 32823,43.94 р.
Минская Фармация ЦРА N182,"Минск-Ленинский, пр-т Рокоссовского, 33",(017) 3376088,43.94 р.
Юнифарм ООО Аптека N20,"Солигорск, пр-т Мира, 24, рядом с маг. Светлана, пом. 2",(044) 5071520,43.98 р.
АльфаАптека Аптека N15 ЗАО Компания Интерфарм,"Толочин, ул. Энгельса, 79/2",(02136) 55992,43.98 р.
Витебское УП Фармация Аптека N109,"Орша, пр-т Текстильщиков, 31",(0216) 541048,43.98 р.
Витебское УП Фармация Аптека N129,"Орша, ул. Советская, 2, диспансер спортивной медицины",(0216) 547619,43.98 р.
Витебское УП Фармация Аптека N184,"Лепель, д. Боровка, 2",(02132) 68399,43.98 р.
Витебское УП Фармация Аптека N203,"Бешенковичи, ул. Витебское шоссе, 36",(02131) 62122,43.98 р.
Витебское УП Фармация Аптека N238,"Глубокое, ул. Московская, 4-1",(02156) 30949,43.98 р.
Витебское УП Фармация Аптека N302,"Браслав, ул. Октября, 15Б",(02153) 61137,43.98 р.
Витебское УП Фармация Аптека N323,"Бешенковичи, ул. Урицкого, 59А",(0213) 163311,43.98 р.
Витебское УП Фармация Аптека N33,"Толочин, г.п. Коханово, ул. Микрорайон, 21, рядом с больницей",(02136) 23578,43.98 р.
Витебское УП Фармация Аптека N334,"Орша, ул. Энгельса, 6, Центральный рынок",(0216) 535147,43.98 р.
Витебское УП Фармация Аптека N345,"Браслав, ул. Дзержинского, 28B, маг. Хит",(0215) 367920,43.98 р.
Витебское УП Фармация Аптека N39,"Дубровно, ул. Комсомольская, 3",(02137) 53173,43.98 р.
Витебское УП Фармация Аптека N397,"Орша, д. Андреевщина, ул. Полевая, 14В",(0216) 540685,43.98 р.
Витебское УП Фармация Аптека N54,"Орша, г.п. Болбасово, общежитие",(0216) 237549,43.98 р.
Витебское УП Фармация Аптека N87,"Поставы, пл. Ленина, 1",(02155) 21570,43.98 р.
Белана ООО ПКФ Аптека N8,"Брест, ул. Ленинградская, 35, маг. Санта",(0162) 561465,44.00 р.
Могилевское РУП Фармация Аптека N123,"Бобруйск, ул. Минская, 100А",(0225) 728188,44.05 р.
Могилевское РУП Фармация Аптека N127,"Бобруйск, ул. Ленина, 73, 1 этаж, пом. 14,15",(0225) 762404,44.05 р.
Могилевское РУП Фармация Аптека N138,"Быхов, ул. Советская, 2",(2231) 71012,44.05 р.
Могилевское РУП Фармация Аптека N15,"Могилев, ул. Королева, 41/97",(0222) 784464,44.05 р.
Могилевское РУП Фармация Аптека N181,"Круглое, г. Круглое, ул. Советская, 83",(02234) 72155,44.05 р.
Могилевское РУП Фармация Аптека N185,"Шклов, Больничный городок",(02239) 95133,44.05 р.
Могилевское РУП Фармация Аптека N25,"Мстиславль, аг. Ходосы, ул. Мстиславская, 47",(02240) 50215,44.05 р.
Могилевское РУП Фармация Аптека N55,"Могилев, ул. Езерской, 6, 1 этаж, пом. 41",(0222) 306076,44.05 р.
Могилевское РУП Фармация Аптека N73,"Могилев, ул. Лазаренко, 64, Пол-ка №2",(0222) 636472,44.05 р.
Столичная Аптека N12 СП Самбест ООО,"Минск-Московский, пр-т Любимова, 26/1, универсам Курган",(017) 2701893,44.05 р.
Фитос-А УП Аптека N4,"Брест, ул. Московская, 342",(0162) 291056,44.06 р.
Белана ООО ПКФ Аптека N12,"Волковыск, ул. Строителей, 2А, маг. Санта",(01512) 51922,44.28 р.
Белана ООО ПКФ Аптека N14,"Мосты, ул. 30 лет ВЛКСМ, 18, маг. Санта",(01515) 32013,44.28 р.
Белана ООО ПКФ Аптека N3,"Брест, ул. Медицинская, 3",(0162) 562359,44.28 р.
Белана ООО ПКФ Аптека N9,"Жабинка, ул. Ленина, 1А",(01641) 35933,от 44.33 р.
АльфаАптека Аптека N13 ГаленаФарм ООО,"Брест, ул. Костюшко, 1",(0162) 555995,44.34 р.
АльфаАптека Аптека N13 ОДО Салюслайн,"Гродно, д. Коробчицы, ул. Заранковая, 1",(0152) 621284,44.37 р.
АльфаАптека Аптека N6 БООО СпецАфармация,"Бобруйск, ул. Горелика, 3А",(0225) 704605,44.37 р.
Лотос-фарм ЧУТП Аптека N4 пятой категории,"Кобрин, ул. Дзержинского, 93, дом торговли",(01642) 35937,44.39 р.
Ремедика Бальзам ООО Аптека N21,"Брест, ул. Советская, 34-1, ТЦ Дидас Персия, цокольный этаж",(0162) 527429,44.40 р.
Гродненское РУП Фармация Аптека N127,"Дятлово, аг. Гезгалы, 2",(1563) 67451,44.40 р.
Гродненское РУП Фармация Аптека N14,"Гродно, г.п. Сопоцкин, ул. Яна Павла II, 11А, маг. Перекресток",(0152) 472450,44.40 р.
Гродненское РУП Фармация Аптека N147,"Гродно, пр-т Янки Купалы, 22А-2",(0152) 689710,44.40 р.
Гродненское РУП Фармация Аптека N148,"Мосты, ул. Советская, 55, в пол-ке",(01515) 60479,44.40 р.
Гродненское РУП Фармация Аптека N151,"Берестовица, г.п. Большая Берестовица, ул. Ленина, 10, пол-ка",(01511) 75193,44.40 р.
Гродненское РУП Фармация Аптека N153,"Гродно, ул. Дзержинского, 113А",(0152) 559266,44.40 р.
Гродненское РУП Фармация Аптека N157,"Гродно, ул. Полиграфистов, 6, Скидельский рынок, павильон 22",(0152) 693826,44.40 р.
Гродненское РУП Фармация Аптека N166,"Лида, ул. Летная, 4, маг. Потсдам",(0154) 659926,44.40 р.
Гродненское РУП Фармация Аптека N187,"Лида, ул. Труханова, 25, 2-я пол-ка",(0154) 541426,44.40 р.
Гродненское РУП Фармация Аптека N207,"Мосты, д. Мосты Правые",(01515) 62394,44.40 р.
Гродненское РУП Фармация Аптека N254,"Слоним, ул. Брестская, 81Б, ТЦ Гранд",(01562) 69731,44.40 р.
Гродненское РУП Фармация Аптека N256,"Скидель, ул. Ленина, 40",(0152) 683948,44.40 р.
Гродненское РУП Фармация Аптека N261,"Гродно, ул. Советских Пограничников, 112- 47, за маг. Алми",(0152) 395187,44.40 р.
Гродненское РУП Фармация Аптека N272,"Гродно, ул. Франтишка Богушевича, 40, маг. Грошык",(0152) 677211,44.40 р.
Гродненское РУП Фармация Аптека N31,"Новогрудок, ул. Франциска Скорины, 4, Стоматологическая поликлиника УЗ ЦРБ",(01597) 43878,44.40 р.
Гродненское РУП Фармация Аптека N44,"Лида, ул. Рыбиновского, 24",(0154) 626123,44.40 р.
Гродненское РУП Фармация Аптека N73,"Березовка, ул. Новогрудская, 8",(0154) 541421,44.40 р.
Гродненское РУП Фармация Аптека N8,"Скидель, ул. Зеленая, 43В",(0152) 470236,44.40 р.
Гродненское РУП Фармация Аптека N84,"Гродно, ул. Доватора, 7, маг. Евроопт",(0152) 621454,44.40 р.
Гродненское РУП Фармация Аптека N9,"Зельва, ул. Пушкина, 62",(01564) 72778,44.40 р.
Гродненское РУП Фармация ЦРА N55,"Дятлово, ул. Мицкевича, 2",(01563) 60344,44.40 р.
Ремедика Интерофицина Плюс ООО Аптека N12,"Марьина Горка, ул. Октябрьская, 20а",(01713) 45875,44.40 р.
Юнифарм ООО Аптека N9,"Дзержинск, ул. Минская, 32",(044) 5071509,44.46 р.
Моя Аптека ООО Аптека N40,"Воложин, ул. Белорусская, 4Б",(01772) 52889,44.49 р.
Моя Аптека ООО Аптека N56,"Мядель, ул. 17 Сентября, 15-14",(01797) 22446,44.49 р.
Моя Аптека ООО Аптека N104,"Лельчицы, ул. Советская, 79-1",(02356) 40922,44.52 р.
Моя Аптека ООО Аптека N41,"Пружаны, ул. Интернациональная, 3",(01632) 22754,44.52 р.
Ремедика Бальзам ООО Аптека N6,"Пружаны, ул. Лазо, 3, к. 1",(01632) 29744,44.55 р.
Ледиком ООО Аптека N16,"Руденск, ул. Кирова, 6",(01713) 50646,44.61 р.
Ледиком ООО Аптека N4,"Крупки, ул. Московская, 7",(0179) 627755,44.61 р.
АльфаАптека Аптека N4 БООО СпецАфармация,"Бобруйск, ул. Парковая, 60А",(0225) 433670,44.70 р.
Могилевское РУП Фармация Аптека N161,"Краснополье, ул. Курако, 42",(02238) 78922,44.80 р.
Могилевское РУП Фармация Аптека N170,"Белыничи, ул. Калинина, 1-2",(02232) 79940,44.80 р.
Могилевское РУП Фармация Аптека N179,"Чаусы, ул. Круговая, 53",(02242) 77058,44.80 р.
Могилевское РУП Фармация Аптека N20,"Климовичи, ул. Первомайская, 24",(02244) 37507,44.80 р.
Могилевское РУП Фармация Аптека N203,"Могилев, ул. Белинского, 22А, п-ка №12",(0222) 719256,44.80 р.
Могилевское РУП Фармация Аптека N209,"Климовичи, ул. Строителей, 1Б",(02244) 71208,44.80 р.
Могилевское РУП Фармация Аптека N46,"Костюковичи, м-н Молодежный, 13",(02245) 23512,44.80 р.
Могилевское РУП Фармация Аптека N78,"Могилев, пр-т Витебский, 70, Обл. психиатрич. больница",(0222) 734997,44.80 р.
Могилевское РУП Фармация Белыничская ЦРА N41,"Белыничи, ул. Энгельса, 3Б",(02232) 74287,44.80 р.
Могилевское РУП Фармация Дрибинская ЦРА N31,"Дрибин, ул. Советская, 5",(02248) 79681,44.80 р.
Могилевское РУП Фармация Костюковичская ЦРА N24,"Костюковичи, м-н Молодежный, 82",(02245) 71100,44.80 р.
Могилевское РУП Фармация Мстиславская ЦРА N15,"Мстиславль, ул. Ленина, 26",(02240) 57672,44.80 р.
Могилевское РУП Фармация Чериковская ЦРА N17,"Чериков, ул. Болдина, 27",(02243) 72118,44.80 р.
Ледиком ООО Аптека N15,"Березино, ул. Победы, 50/35",(0171) 568613,от 44.91 р.
Вест ООО Аптека N2,"Смолевичи, ул. Социалистическая, 5",(01776) 52454,44.91 р.
Ретфарм ООО Аптека N4,"Смолевичи, ул. Советская, 133/2",(029) 7432042,45.00 р.
Планета Здоровья Аптека N10 ОДО Фарм-Продукт,"Фаниполь, ул. Якуба Коласа, 6",+375171693704,45.05 р.
Витвар ООО Аптека N7,"Браслав, ул. Садовая, 6",(02153) 61423,45.15 р.
Юнифарм ООО Аптека N19,"Солигорск, пр-т Мира, 34, маг. Радуга",(044) 5071519,45.15 р.
Юнифарм ООО Аптека N40,"Солигорск, ул. Ленина, 35А",(044) 5071540,45.15 р.
Планета Здоровья Аптека N18 ООО ДОКТОР ТАИР,"Минск-Заводской, ул. Нестерова, 58, Магазин Санта, отдельный вход",+375172152246,45.33 р.
Витафарм ООО Аптека N16,"Брест, ул. Гоголя, 65, в центре здоровья и отдыха Дельта",(0162) 291548,45.36 р.
Витафарм ООО Аптека N9,"Брест, пр-т Машерова, 16",(0162) 536586,45.36 р.
АльфаАптека Аптека N12 ГаленаФарм ООО,"Брест, ул. Аэродромная, 20",(0162) 555885,45.36 р.
Столичная Аптека N6 СП Самбест ООО,"Минск-Московский, пр-т Любимова, 17-4",(017) 3703677,45.43 р.
Зеленый лист Аптека N19 ОДО ДКМ-ФАРМ,"Могилев, ул. Челюскинцев, 136",(0222) 208797,45.48 р.
Минская Фармация Аптека N10,"Столбцы, ул. Ленинская, 91, пом. 3",(01717) 77545,45.50 р.
Минская Фармация Аптека N123,"Воложин, ул. Комсомольская, 6",(01772) 55272,45.50 р.
Минская Фармация Аптека N129,"Дзержинск, д. Свидовщина, ул. Первомайская, 24",(01716) 33626,45.50 р.
Минская Фармация Аптека N132,"Мядель, г.п. Свирь, ул. Советская, 58",(01797) 41916,45.50 р.
Минская Фармация Аптека N142,"Молодечно, пос. Чисть, ул. Садовая, 23",(0176) 707327,45.50 р.
Минская Фармация Аптека N148,"Солигорск, ул. Коржа, 1, Солигорская районная пол-ка",(0174) 314894,45.50 р.
Минская Фармация Аптека N176,"Марьина Горка, г.п. Правдинский",(01713) 42594,45.50 р.
Минская Фармация Аптека N193,"Солигорск, ул. Железнодорожная, 48",(0174) 331366,45.50 р.
Минская Фармация Аптека N209,"Жодино, ул. 8 Марта, 13",(01775) 63045,45.50 р.
Минская Фармация Аптека N214,"Марьина Горка, ул. Новая Заря, 35А",(01713) 55340,45.50 р.
Минская Фармация Аптека N222,"Березино, ул. Янки Купалы, 1/1",(01715) 65411,45.50 р.
Минская Фармация Аптека N225,"Фаниполь, ул. Комсомольская, 24, в здании поликлиники",(01716) 91301,45.50 р.
Минская Фармация Аптека N242,"Солигорск, ул. Парковая, 9",(0174) 238698,45.50 р.
Минская Фармация Аптека N252,"Смолевичи, ул. Первомайская, 103",(01776) 55095,45.50 р.
Минская Фармация Аптека N257,"Борисов, ул. Лопатина, 170",(0177) 748977,45.50 р.
