Название,Адрес,Время работы,Телефон,Широта,Долгота
Соцфарма ООО Аптека N2,"Минск-Первомайский, ул. Петра Мстиславца, 12, пом. 215, между ТЦ Dana Mall и Национальной библиотекой","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00",(017) 3785522,53.931811,27.649914
Соцфарма ООО Аптека N3,"Минск-Первомайский, пр-т Независимости, 164-8Н","08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00",(017) 2701224,53.944151,27.686711
Соцфарма ООО Аптека N4,"Минск-Московский, пр-т Дзержинского, 11, пом. 826","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00",(017) 2704950,53.888555,27.521366
Соцфарма ООО Аптека N5,"Минск-Октябрьский, ул. Корженевского, 10/3, пом. 13","08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00",(017) 2021959,53.844462,27.503584
Соцфарма ООО Аптека N6,"Минск-Центральный, ул. Орловская, 40-3, пом. 3-4 — 3-9, 3-11, 3-12","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00",(017) 2706729,53.932734,27.555669
Столичная Аптека N1 СП Самбест ООО,"Минск-Советский, ул. Якуба Коласа, 51/1-46","08.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-20.00, вс.",(017) 3420680,53.930975,27.598586
Столичная Аптека N12 СП Самбест ООО,"Минск-Московский, пр-т Любимова, 26/1, универсам Курган","10.00-21.00, пн.–пт.; 11.00-21.00, сб.; 11.00-21.00, вс.",(017)  2701893,53.862317,27.459600
Столичная Аптека N14 СП Самбест ООО,"Минск-Фрунзенский, пр-т Пушкина, 67","09.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: последняя суббота каждого месяца с 07:00 до 09:00;",(017) 3548740,53.916383,27.494250
Столичная Аптека N15 СП Самбест ООО,"Минск-Первомайский, ул. Карбышева, 7, к. 2, пом. 4, рядом с маг. Евроопт","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный день: четвертое воскресенье каждого месяца;",(017) 3926799,53.954765,27.628132
Столичная Аптека N16 Самбест СП ООО,"Минск-Советский, ул. Гикало, 1","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 09.00-20.00, вс.",(017) 3744839,53.916567,27.587017
Столичная Аптека N17 СП Самбест ООО,"Минск-Ленинский, ул. Прушинских, 2, маг. Евроопт","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(017) 3619427,53.838933,27.587067
Столичная Аптека N18 СП Самбест ООО,"Минск-Московский, ул. Романовская Слобода, 13, пом. 2Н","08.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(017) 2436339,53.904667,27.541633
Столичная Аптека N19 СП Самбест ООО,"Минск-Советский, пр-т Независимости, 58А-31","07.30-21.00, пн.–пт.; 08.00-21.00, сб.; 09.00-20.00, вс.",(017) 3795869,53.918317,27.590371
Столичная Аптека N2 СП Самбест ООО,"Минск-Фрунзенский, ул. Бурдейного, 6, Западный рынок","09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: третий понедельник каждого месяца с 8:00 до 10:00;",(017) 3575799,53.905033,27.454933
Столичная Аптека N20 СП Самбест ООО,"Минск-Московский, ул. Уманская, 54, пом. 136, ТЦ Глобо","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(017) 3704935,53.874923,27.498755
Столичная Аптека N21 СП Самбест ООО,"Минск-Советский, ул. Сурганова, 36-42","08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(017) 3429849,53.926765,27.593430
Столичная Аптека N22 СП Самбест ООО,"Минск-Центральный, ул. Игнатенко, 8","08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-20.00, вс.; Санитарный день: третье воскресенье месяца с 9.00 до 12.00",(017) 3680570,53.918142,27.526473
Столичная Аптека N23 СП Самбест ООО,"Минск-Фрунзенский, ул. Бурдейного, 6В, ТЦ Топ","08.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",(017) 3737032,53.904373,27.457520
Столичная Аптека N24 СП Самбест ООО,"Минск-Ленинский, ул. Прушинских, 34","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный день: третье воскресенье месяца 9.00-13.00;",(017) 3601451,53.834922,27.582251
Столичная Аптека N25 СП Самбест ООО,"Минск-Первомайский, пр-т Независимости, 103, пом. 1Н","08.00-22.00, пн.–пт.; 08.00-20.00, сб.; 09.00-20.00, вс.",(017) 3540550,53.928091,27.626485
Столичная Аптека N26 СП Самбест ООО,"Минск-Центральный, пр-т Машерова, 76А, пом. 2, БЦ Стэлла","09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",(017) 3428674,53.913131,27.534244
Столичная Аптека N27 СП Самбест ООО,"Минск-Первомайский, пр-т Независимости, 179-2","09.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(017) 2531977,53.946297,27.688035
Столичная Аптека N28 СП Самбест ООО,"Минск-Первомайский, пр-т Независимости, 154Д","10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: третий понедельник каждого месяца с 10:00-13:00;",(017) 2410559,53.932474,27.674758
Столичная Аптека N3 СП Самбест ООО,"Минск-Советский, ул. Сурганова, 88","08.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",(017) 2584532,53.931817,27.578733
Столичная Аптека N4 СП Самбест ООО,"Минск-Советский, ул. Восточная, 131","09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",(017) 3503565,53.939967,27.598667
Столичная Аптека N5 СП Самбест ООО,"Минск-Фрунзенский, ул. Одинцова, 20, пом. 15","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(017) 3047169,53.900533,27.446633
Столичная Аптека N6 СП Самбест ООО,"Минск-Московский, пр-т Любимова, 17-4","09.00-23.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(017) 3703677,53.859283,27.463067
Столичная Аптека N8 СП Самбест ООО,"Минск-Советский, пр-т Машерова, 26, военный госпиталь","08.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.",(017) 3964073,53.916667,27.568400
Столичная Аптека N9 СП Самбест ООО,"Минск-Советский, Логойский тр-т, 37-2, ТЦ Норд Сити","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.; Санитарные часы: третья суббота каждого месяца с 10.00 до 12.00;",(017) 2701105,53.955750,27.620383
Тишас ОДО Аптека N1,"Пинск, ул. Ленинградская, 15, ТЦ Комфорт","выходной, пн.; 08.30-15.00, вт.; 08.30-15.00, ср.; 08.30-15.00, чт.; 08.30-15.00, пт.; 08.30-15.00, сб.; 08.30-15.00, вс.",(044) 7023343,52.119010,26.106569
Тишас ОДО Аптека N10,"Борисов, пр-т Революции, 14-21","09.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.",(0177) 941715,54.221874,28.523415
Тишас ОДО Аптека N11,"Барановичи, пр-т Советский, 5","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0163) 612730,53.154038,25.998475
Тишас ОДО Аптека N12,"Барановичи, ул. Войкова, 16","09.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",(0163) 670390,53.128219,26.031722
Тишас ОДО Аптека N13,"Солигорск, ул. Ленинского Комсомола, 40А","09.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",(0174) 236278,52.793976,27.542832
Тишас ОДО Аптека N14,"Барановичи, ул. Ленина, 11-23","09.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",(0163) 681612,53.132708,26.024553
Тишас ОДО Аптека N15,"Лепель, ул. Войкова, 122А, маг. Санта","09.00-21.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",(02132) 36672,54.883167,28.696529
Тишас ОДО Аптека N16,"Слуцк, ул. Чехова, 57","09.00-21.00, пн.–пт.; 10.00-17.00, сб.; 10.00-17.00, вс.",(01795) 76003,53.043959,27.559675
Тишас ОДО Аптека N17,"Фаниполь, ул. Янки Купалы, 1А, маг. Доброном","10.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",(029) 1517347,53.750962,27.331296
Тишас ОДО Аптека N18,"Барановичи, ул. Парковая, 16-2","09.00-21.00, пн.–пт.; 10.00-17.00, сб.; 10.00-17.00, вс.",(0163) 610421,53.140352,26.066244
Тишас ОДО Аптека N19,"Слуцк, ул. Ленина, 156","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(01795) 23058,53.031787,27.559558
Тишас ОДО Аптека N2,"Пинск, ул. Брестская, 63","07.00-23.00, пн.–пт.; 07.00-23.00, сб.; 07.00-23.00, вс.",(0165) 649640,52.112142,26.076215
Тишас ОДО Аптека N20,"Новополоцк, ул. Молодежная, 186Б, магазин Санта","09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",(0214) 758607,55.506750,28.697894
Тишас ОДО Аптека N21,"Минск-Первомайский, д. Копище, ул. Авиационная, 19","09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",(017) 2704612,53.960237,27.661257
Тишас ОДО Аптека N22,"Минск-Центральный, пр-т Победителей, 133-784","09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",(017) 3741549,53.942036,27.464031
Тишас ОДО Аптека N23,"Минск-Советский, ул. Леонида Беды, 45-550","09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",(017) 2709189,53.942503,27.597417
Тишас ОДО Аптека N24,"Гомель, б-р Газеты Гомельская Правда, 32, мед. центр Белсоно","08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-17.00, вс.",(0232) 252085,52.448345,31.026382
Тишас ОДО Аптека N25,"Гомель, ул. Петруся Бровки, 45А","09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",(029) 1470733,52.468473,31.024324
Тишас ОДО Аптека N27,"Пинск, ул. Иркутско-Пинской Дивизии, 61/1","08.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",(0165) 649676,52.125828,26.126826
Тишас ОДО Аптека N28,"Гатово, ул. Металлургическая, 18Б, пом 3-9","09.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(017) 5161029,53.783964,27.628351
Тишас ОДО Аптека N29,"Минск-Первомайский, д. Копище, ул. Леонардо Да Винчи, 2-469","09.00-22.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",(017) 3035668,53.952343,27.666708
Тишас ОДО Аптека N3,"Витебск, ул. Анатолия Богатырева, 8А-3А, Магазин Светофор","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0212) 686587,55.170450,30.261996
Тишас ОДО Аптека N30,"Минск-Московский, ул. Чюрлениса, 4-176","09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-19.00, вс.",(017) 2704745,53.855070,27.479635
Тишас ОДО Аптека N31,"Минск-Первомайский, д. Копище, ул. Леонардо Да Винчи, 3, пом. 12","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(017) 3709101,53.951861,27.664580
Тишас ОДО Аптека N32,"Минск-Центральный, пр-т Победителей, 127-275","08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",(017) 2702724,53.939799,27.467616
Тишас ОДО Аптека N33,"Минск-Фрунзенский, аг. Ратомка, ул. Морской Риф, 1/4, ЖК Пирс, 2 этаж","09.00-20.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",(029) 6796298,53.948538,27.331557
Тишас ОДО Аптека N34,"Орша, ул. Мира, 29","08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",(0216) 507835,54.513302,30.409877
Тишас ОДО Аптека N4,"Витебск, ул. Воинов-Интернационалистов, 11А-2, маг. Копеечка","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(0212) 225191,55.162402,30.213811
Тишас ОДО Аптека N5,"Витебск, ул. Правды, 64А-3, маг. Копеечка","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(0212) 622088,55.186191,30.230169
Тишас ОДО Аптека N6,"Слуцк, ул. Ленина, 290А","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(01795) 64450,53.042579,27.593124
Тишас ОДО Аптека N7,"Слуцк, ул. Ленина, 148","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(01795) 46452,53.029724,27.556639
Тишас ОДО Аптека N8,"Бобруйск, ул. Минская, 17-9, на пересечении ул. Минская и ул. Социалистическая","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0225) 734158,53.147055,29.231709
Тишас ОДО Аптека N9,"Бобруйск, ул. Минская, 89","09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(0225) 730986,53.155507,29.218109
Фарм Форум ТЧУП Аптека N2,"Минск-Фрунзенский, ул. Притыцкого, 140, рядом с мед. центром ЛОДЭ","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",(017) 3683709,53.907587,27.439170
Фарм Форум ТЧУП Аптека N4,"Минск-Фрунзенский, ул. Сухаревская, 5","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-18.00, вс.",(017) 2507480,53.883911,27.437882
Фармасэйв ЧТПУП Аптека,"Рогачев, ул. Кирова, 6-1","07.30-22.00, пн.–пт.; 07.30-22.00, сб.; 07.30-22.00, вс.",(02339) 21244,53.074293,30.053587
Фармира ООО Аптека N1,"Борисов, ул. Нормандия-Неман, 2А","09.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",(0177) 786550,54.241257,28.511171
Фармира ООО Аптека N2,"Борисов, ул. 3-го Интернационала, 32","08.30-20.00, пн.–пт.; 08.30-16.00, сб.; выходной, вс.",(0177) 754848,54.242357,28.505377
Фармира ООО Аптека N4,"Борисов, ул. Нормандия-Неман, 159А, ТЦ Неман","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Перерыв: 13.00 - 13.30",(0177) 722939,54.259790,28.511790
ФармОстров ООО Аптека N10,"Гомель, пр-т Речицкий, 61А","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 7942118,52.408435,30.930846
ФармОстров ООО Аптека N11,"Гомель, ул. Советская, 119","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 09.00-21.00, вс.",(0232) 248650,52.462550,30.987108
ФармОстров ООО Аптека N12,"Гомель, ул. 60 лет СССР, 14/3-3","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0232) 235019,52.405018,30.982942
ФармОстров ООО Аптека N13,"Гомель, ул. Пенязькова, 21-148","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0232) 298650,52.398587,30.961267
ФармОстров ООО Аптека N14,"Речица, ул. Строителей, 4","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(02340) 48816,52.372370,30.348773
ФармОстров ООО Аптека N15,"Жлобин, ул. Первомайская, 80/2","08.00-19.00, пн.–пт.; 08.00-19.00, сб.; 08.00-19.00, вс.",(02334) 44650,52.893771,30.030985
ФармОстров ООО Аптека N16,"Минск-Фрунзенский, ул. Одинцова, 69-1Н","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(017) 3573464,53.900040,27.439319
ФармОстров ООО Аптека N17,"Светлогорск, ул. Ленина, 36","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",(02342) 29982,52.632078,29.749292
ФармОстров ООО Аптека N18,"Мозырь, ул. Митрополита Филарета, 2-2","08.00-20.00, пн.–пт.; 08.00-19.00, сб.; 09.00-18.00, вс.",(0236) 257318,52.046211,29.271972
ФармОстров ООО Аптека N19,"Орша, ул. Дзержинского, 1А","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",(0216) 507540,54.519394,30.374422
ФармОстров ООО Аптека N2,"Орша, ул. Могилевская, 95А","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0216) 535827,54.489948,30.437086
ФармОстров ООО Аптека N20,"Солигорск, ул. Ленина, 35А","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",(0174) 237230,52.782665,27.542829
ФармОстров ООО Аптека N21,"Могилев, ул. Островского, 1В","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0222) 713047,53.871850,30.328429
ФармОстров ООО Аптека N22,"Гомель, ул. Богданова, 7-161","08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",(0232) 290334,52.452583,30.970769
ФармОстров ООО Аптека N23,"Речица, ул. Советская, 102-63","08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",(02340) 96754,52.366733,30.398273
ФармОстров ООО Аптека N24,"Гомель, ул. Интернациональная, 32","07.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5592118,52.418223,31.002612
ФармОстров ООО Аптека N25,"Гомель, ул. Ломоносова, 14А","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",(044) 7432118,52.534126,30.917955
ФармОстров ООО Аптека N26,"Гомель, пр-т Речицкий, 62А","09.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0232) 312787,52.405411,30.923986
ФармОстров ООО Аптека N27,"Гомель, ул. Тереховская, 1, пом. 1а","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0232) 228934,52.350834,31.054939
ФармОстров ООО Аптека N28,"Бобруйск, пр-т Строителей, 35","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",(0225) 733215,53.189782,29.223678
ФармОстров ООО Аптека N29,"Гомель, ул. Виноградная, 12","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0232) 356232,52.490198,30.994563
ФармОстров ООО Аптека N3,"Гомель, ул. Брестская, 1","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0232) 279627,52.413100,30.949735
ФармОстров ООО Аптека N30,"Гродно, ул. 1 Мая, 19-3, цокольный этаж","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0152) 620414,53.687753,23.845339
ФармОстров ООО Аптека N31,"Гомель, ул. Богдана Хмельницкого, 96-16","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",(0232) 356095,52.408028,30.975043
ФармОстров ООО Аптека N32,"Гомель, ул. Братьев Лизюковых, 18-1","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",(0232) 356045,52.402710,30.949414
ФармОстров ООО Аптека N4,"Гомель, ул. Ландышева, 12","08.00-21.00, пн.–пт.; 08.00-19.00, сб.; 09.00-19.00, вс.",(0232) 240241,52.445964,31.002170
ФармОстров ООО Аптека N5,"Мозырь, б-р Дружбы, 5, пом. 4","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0236) 253876,52.031236,29.241339
ФармОстров ООО Аптека N6,"Гомель, ул. Карповича, 10-1","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",(0232) 269027,52.427920,30.999485
ФармОстров ООО Аптека N7,"Минск-Фрунзенский, ул. Михася Лынькова, 19, пом. 1-2","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",(017) 2386610,53.927668,27.490606
ФармОстров ООО Аптека N8,"Гомель, ул. Кирова, 90","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0232) 259440,52.443837,30.995433
ФармОстров ООО Аптека N9,"Минск-Ленинский, пр-т Рокоссовского, 145А","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",(017) 3604137,53.855893,27.611930
Фито лавка Софи ООО СофиРелакс,"Барановичи, ул. Баранова, 32","09.00-19.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",(29) 8150333,53.128764,26.030473
Фитокрама интернет-магазин,"РБ, доставка по всей Беларуси",Круглосуточно,"(044) 5975005, 7122 - А1+mts",,
Фитос-А УП Аптека N1,"Брест, ул. Московская, 340","08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.; Санитарные часы: последняя среда месяца с 7.30 до 9.30;",(0162) 500433,52.100869,23.767536
Фитос-А УП Аптека N2,"Брест, ул. Пионерская, 85-19","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; выходной, вс.; Праздничные дни: выходной;  Санитарные часы: третий вторник месяца с 8.00 до 10.00;",(0162) 534730,52.095225,23.730570
Фитос-А УП Аптека N3,"Брест, пр-т Партизанский, 13","07.30-23.00, пн.–пт.; 07.30-23.00, сб.; 07.30-23.00, вс.; Санитарные часы: третья среда месяца с 7.00 до 9.00;",(0162) 259661,52.106920,23.761104
Фитос-А УП Аптека N4,"Брест, ул. Московская, 342","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: третий вторник месяца с 8.00 до 10.00;",(0162) 291056,52.101709,23.769674
Фитос-А УП Аптека N5,"Брест, ул. Гоголя, 67","08.30-20.30, пн.–пт.; 08.30-20.30, сб.; 08.30-20.30, вс.; Санитарные часы: последняя среда месяца с 7.30 до 9.30;",(0162) 534145,52.093626,23.699138
Фитос-А УП Аптека N6,"Брест, пр-т Республики, 24","09.30-21.30, пн.–пт.; 09.30-21.30, сб.; 09.30-21.30, вс.; Санитарные часы: последняя среда месяца с 8.00 до 10.00;",(0162) 527345,52.077179,23.769872
Фитос-А УП Аптека N7,"Брест, ул. Героев обороны Брестской крепости, 17-1, пом. 4","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0162) 232430,52.092321,23.664050
Флора-Фарм ООО Аптека N1,"Минск-Фрунзенский, ул. Иосифа Жиновича, 20","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!  Санитарные часы: последнее воскресенье каждого месяца с 10:00 до 11:00;",(017) 3575412,53.924004,27.443032
Флора-Фарм ООО Аптека N10,"Минск-Московский, ул. Дзержинского, 119","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 3705099,53.851005,27.476384
Флора-Фарм ООО Аптека N11,"Минск-Ленинский, ул. Маяковского, 162-14","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 3501998,53.864352,27.570653
Флора-Фарм ООО Аптека N12,"Минск-Первомайский, ул. Руссиянова, 7А, 2 этаж","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",(017) 3100102,53.938994,27.686293
Флора-Фарм ООО Аптека N13,"Минск-Ленинский, ул. Якубова, 10-9","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 3504160,53.851431,27.597961
Флора-Фарм ООО Аптека N14,"Минск-Советский, ул. Мирошниченко, 51","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 3424225,53.961681,27.617148
Флора-Фарм ООО Аптека N15,"Минск-Московский, пр-т Любимова, 17-1, вход с левой стороны здания около магазина Мила","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Санитарные часы: последнее воскресенье каждого месяца с 10:00 до 11:00;",(017) 2706582,53.859458,27.463340
Флора-Фарм ООО Аптека N16,"Минск-Советский, ул. Богдана Хмельницкого, 10-40","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",(017) 2706580,53.924113,27.595150
Флора-Фарм ООО Аптека N17,"Минск-Первомайский, ул. Ложинская, 4-4","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",(017) 2708591,53.946636,27.684774
Флора-Фарм ООО Аптека N18,"Минск-Октябрьский, ул. Чкалова, 1-1Н","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",(017) 3751030,53.881313,27.536705
Флора-Фарм ООО Аптека N19,"Минск-Московский, пр-т Газеты Правда, 17-243","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",(017) 3751015,53.865717,27.483812
Флора-Фарм ООО Аптека N2,"Минск-Фрунзенский, ул. Притыцкого, 46","09.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 3612734,53.909078,27.481774
Флора-Фарм ООО Аптека N20,"Минск-Заводской, пр-т Партизанский, 106, пом. 46","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",(017) 3754005,53.868133,27.649668
Флора-Фарм ООО Аптека N21,"Минск-Первомайский, ул. Кедышко, 23","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",(017) 2704403,53.931318,27.621848
Флора-Фарм ООО Аптека N3,"Минск-Октябрьский, ул. Воронянского, 3","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 3478096,53.878760,27.539120
Флора-Фарм ООО Аптека N4,"Минск-Московский, ул. Слободская, 27","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 3607912,53.858322,27.432499
Флора-Фарм ООО Аптека N5,"Минск-Советский, ул. Максима Богдановича, 133","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 3602939,53.923371,27.568533
Флора-Фарм ООО Аптека N6,"Минск-Ленинский, ул. Янки Лучины, 10","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 2240885,53.839006,27.568506
Флора-Фарм ООО Аптека N7,"Минск-Советский, ул. Гикало, 18","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!",(017) 2246656,53.913094,27.591583
