Название аптеки,Адрес,Телефон,Время работы,Цена
ГратиаФарм ООО Аптека N6,"Брест, ул. Бауманская, 25, маг. Хлебосолье",(0162) 282828,"09.00-22.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Сан. день: 1-ый понедельник месяца с 9.00 до 11.00",
Добрыя Леки-Эканом Аптека N58 ЗАО Аптека групп Юг,"Гомель, пр-т Речицкий, 80-87",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Новамедика Аптека N14,"Минск-Фрунзенский, аг. Ратомка, ул. Перспективная, 12",(017) 5125091,"09.30-20.30, пн.–пт.; выходной, сб.; выходной, вс.; Санитарный день - 3-й четверг месяца;",
Добрыя Леки Аптека N56 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Янковского, 44",моб. 5355757,"09.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Гомельское УП Фармация Аптека N166,"Петриков, аг. Комаровичи, ул. Центральная",(02350) 42248,"10.00-15.30, пн.; 10.00-15.30, вт.; 10.00-15.30, ср.; 10.00-15.30, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-13:30;",
Добрыя Леки-Эканом Аптека N36 ООО Аптека групп Запад,"Брест, ул. Пригородная, 32А, микрорайон Речица",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
"Оптика сладких цен ""Халва"" N2 ООО Голд оптик","Минск-Первомайский, ул. Гинтовта, 14",(044) 5771995,"10.00-20.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Брестское РУП Фармация Аптека N170,"Ивацевичи, г.п. Телеханы, ул. 1 Мая, 1, в здании больницы",(01645) 21445,"08.30-17.30, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
БСТфарм ООО Аптека N3,"Минск-Московский, ул. Алибегова, 12Б",(017) 3389680,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Зялёная крама Торговый объект N25 ООО Ирина-Фарм,"Минск-Фрунзенский, ул. Бурдейного, 4, 31-я городская пол-ка",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Добрыя Леки Аптека N82 ООО Аптека групп Центр,"Минск-Заводской, Новодворский с/с, М-4, 5-й км, 4, маг. Белмаркет",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Добрыя Леки Аптека N31 ЗАО Аптека групп Юг,"Гомель, ул. Ильича, 87-234",моб. 5355757,"09.00-20.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Добрыя Леки-Эканом Аптека N81 ООО Аптека групп Центр,"Минск-Заводской, ул. Голодеда, 34А, маг. Соседи",моб. 5355757,"09.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Искамед ООО Аптека N81,"Мозырь, ул. Притыцкого, 17А",(0236) 243200,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: четвертая пятница каждого месяца с 9:00 до 12:00;",
АльфаАптека Аптека N9 Табина ООО,"Минск-Партизанский, ул. Филимонова, 3, к. 2",(017) 3516772,"07.00-23.00, пн.–пт.; 07.00-23.00, сб.; 07.00-23.00, вс.; Санитарные часы: второй понедельник месяца  с 9.00 до 11.00;",
Искамед ООО Аптека N51,"Гродно, пр-т Космонавтов, 27",(0152) 717150,"09.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Санитарные часы: четвертая среда каждого месяца с 9:00 до 12:00;",
Плесид ООО Аптека N1,"Минск-Фрунзенский, ул. Янки Мавра, 20",(044) 5074501,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Столичная Аптека N21 СП Самбест ООО,"Минск-Советский, ул. Сурганова, 36-42",(017) 3429849,"08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Радикс Аптека N8 ООО Диалпро,"Рогачев, ул. Ивана Богатырева, 114г-1",(02339) 29525,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки Аптека N83 ЗАО Аптека групп Юг,"Климовичи, ул. 50 лет СССР, 23Б, маг. Санта",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Аптекарь Аптека-63 ОДО Аптека N3,"Давид-Городок, ул. Советская, 15",(01655) 64141,"08.00-20.00, пн.–пт.; 08.00-16.00, сб.; 08.00-16.00, вс.; Санчасы: первый четверг месяца 08:00 - 10:00;",
Брестское РУП Фармация Аптека N21,"Барановичи, ул. Тельмана, 15",(0163) 672757,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9:00-17:00;",
Брестское РУП Фармация Аптека N274,"Кобрин, ул. Дружбы, 20, маг. Санта",(01642) 43822,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.; Праздничные дни: выходной;",
Фито лавка Софи ООО СофиРелакс,"Барановичи, ул. Баранова, 32",(29) 8150333,"09.00-19.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Гродненское РУП Фармация Аптека N198,"Свислочь, ул. 17 Сентября, 12",(01513) 72423,"09.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12.00-13.00 Праздничные дни: выходной",
Гомельское УП Фармация Аптека N89,"Житковичи, п. Хвоенск",(02353) 26570,"09.00-14.30, пн.; 09.00-14.30, вт.; 09.00-14.30, ср.; 09.00-14.30, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Перерыв: 12.00 - 12.30",
Добрыя леки Аптека N3 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Лобанка, 94",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя леки Аптека N19 ОДО Амадей,"Гомель, ул. Минская, 44, рядом с маг. Друзья",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Искамед ООО Аптека N65,"Витебск, ул. Ленина, 5",(0212) 687988,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: четвертая среда каждого месяца с 9:00 до 11:00;",
Добрыя Леки Аптека N31 ООО Аптека групп Запад,"Волковыск, ул. Победы, 1-3, маг. Копеечка",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
АльфаАптека Аптека N19 ОДО Салюслайн,"Гродно, ул. Огинского, 12, ТЦ Парус",(0152) 677609,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.; Санитарные часы: второй вторник месяца с 10.00 до 12.00;",
Искамед ООО Аптека N33,"Новополоцк, ул. Молодежная, 66",(0214) 528436,"08.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Санитарные часы: первая среда каждого месяца с 9:00 до 12:00;",
Брестское РУП Фармация Аптека N210,"Ольшаны, ул. Первомайская, 1Б, в здании ДК",(01655) 97768,"08.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-14:00; Праздничные дни: выходной;",
АльфаАптека Аптека N14 Не Ска ООО,"Гомель, ул. Ефремова М.Г., 5-266",(0232) 304592,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.; Санитарные часы: первый четверг каждого месяца с 8.00 до 10.00; Уточняйте наличие и цену звонком в аптеку;",
Медтехника УП Магазин г. Городок,"Городок, ул. Комсомольская, 8",(02139) 58668,"08.30-17.30, пн.; 08.30-17.30, вт.; 08.30-17.30, ср.; 08.30-17.30, чт.; 08.00-16.00, пт.; выходной, сб.; выходной, вс.",
АльфаАптека Аптека N15 Не Ска ООО,"Гомель, ул. Барыкина, 78",(0232) 209500,"10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: первый четверг каждого месяца с 10:00 до 12:00;",
АльфаАптека Аптека N38 Фитобел ООО,"Минск-Московский, пр-т Газеты Правда, 40/2, магазин Green",(017) 3241133,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: третья среда каждого месяца с 9.00 до 11.00;",
АльфаАптека Аптека N14 ГаленаФарм ООО,"Кобрин, ул. Ленина, 7-3",(01642) 62870,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.; Санитарные часы: второй вторник месяца с 8.00 до 10.00;",
Лигматон ООО Аптека N18,"Минск-Ленинский, ул. Денисовская, 8-2, ТЦ Корона сити",(017) 3632010,"09.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.; Санитарные часы первый понедельник месяца с 9.00 до 12.00",
Гомельское УП Фармация Аптека N170,"Гомель, ул. Минская, 34",(0232) 265774,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.; Перерыв: 13:30-14:00;",
Искамед ООО Аптека N110,"Гродно, пр-т Янки Купалы, 87, ТРК TRINITI, 1 этаж, вход с северной парковки",(0152) 393020,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.; Санитарные часы: четвертый понедельник каждого месяца с 8:00 до 10:00;",
Зялёная крама Торговый объект N55 ООО Ирина-Фарм,"Минск-Советский, ул. Веры Хоружей, 17, маг. Соседи",7822 - А1+mts,"9.00-21.00, пн.–пт.; 9.00-21.00, сб.; 9.00-21.00, вс.",
Гродненское РУП Фармация Аптека N19,"Гродно, аг. Индура, ул. Рогачевского, 57, маг. Перекресток",(0152) 601958,"09.00-19.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Праздничные дни: выходной",
Зялёная крама Торговый объект N11 ООО Ирина-Фарм,"Минск-Первомайский, ул. Макаенка, 17",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
ФармОстров ООО Аптека N14,"Речица, ул. Строителей, 4",(02340) 48816,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Медпростор Салон медтехники и ортопедии N44,"Брест, ул. Мицкевича, 6, пом. 2",(029) 3339190,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Гродненское РУП Фармация Аптека N122,"Мосты, д. Гудевичи, ул. Центральная, 7, амбулатория",(01515) 62395,"09.00-13.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",
Минская Фармация Аптека N135,"Нарочь, к.п. Нарочь, ул. Ленинская, 9",(01797) 27367,"08.00-19.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Плесид ООО Аптека N5,"Минск-Советский, ул. Мирошниченко, 55",(044) 5074205,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Медицинский магазин N20 Польза,"Минск-Фрунзенский, ул. Кальварийская, 44",(029) 1543844,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Искамед ООО Аптека N74,"Гомель, пр-т Победы, 3",(0232) 332157,"08.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: четвертая среда каждого месяца с 8:00 до 10:00;",
Могилевское РУП Фармация Аптека N157,"Костюковичи, ул. Юношеская, 111",(02245) 76386,"07.30-19.00, пн.–пт.; 08.00-16.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Брестское РУП Фармация Аптека N281,"Лунинец, ул. Бохоново, 11В-1, маг. Санта",(01647) 45395,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.; Праздничные дни: 10.00-22.00;",
Гродненское РУП Фармация Аптека N118,"Мосты, аг. Дубно, ул. 40 лет БССР, 6",(01515) 32339,"выходной, пн.; 10.00-14.00, вт.; 10.00-14.00, ср.; 10.00-14.00, чт.; 10.00-14.00, пт.; 10.00-14.00, сб.; выходной, вс.; Праздничные дни: выходной",
Зялёная крама Торговый объект N53 ООО Здоровое Решение,"Минск-Фрунзенский, ул. Дунина-Марцинкевича, 11, Раковский кирмаш",7822 - А1+mts,"10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-19.00, вс.",
Минская Фармация Аптека N212,"Михановичи, ул. Советская, 15",(017) 5162342,"09.00-20.00, пн.–пт.; 09.00-17.30, сб.; 09.00-17.30, вс.; Перерыв в субботу и воскресенье: 13.00-13.30; Праздничные дни: выходной;",
Искамед ООО Аптека N62,"Витебск, пр-т Фрунзе, 80/1",(0212) 637373,"09.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: четвертая пятница каждого месяца с 9:00 до 12:00;",
АльфаАптека Аптека N16 ГаленаФарм ООО,"Кобрин, ул. 700-летия Кобрина, 73А-3",(01642) 30549,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: вторая суббота месяца с 15.00 до 17.00;",
Витебское УП Фармация Аптека N262,"Орша, ул. Молокова, 13, 5-я железнодорожная пол-ка",(0216) 549598,"08.00-16.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Зялёная крама Торговый объект N64 ООО Ирина-Фарм,"Минск-Советский, пр-т Независимости, 56А-9, островок на входе в обувной магазин Мегатоп",,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
ИООО Сибвалио-Бел Аптека N1,"Минск-Центральный, ул. Максима Танка, 4-1Е",(044) 5603106,"10.00-20.00, пн.–пт.; 10.00-20.00, сб.; выходной, вс.; Первый понедельник месяца-санитарный день;",
АльфаАптека Аптека N3 ЗАО Компания Интерфарм,"Витебск, ул. Правды, 59А",(0212) 220311,"09.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Санитарные часы: последняя пятница месяца с 9.00 до 11.00;",
Столичная Аптека N5 СП Самбест ООО,"Минск-Фрунзенский, ул. Одинцова, 20, пом. 15",(017) 3047169,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Гомельское УП Фармация Аптека N199/5,"Жлобин, аг. Пиревичи, пер. Советский, 7-5",(02334) 41229,"выходной, пн.; 09.00-15.00, вт.; выходной, ср.; выходной, чт.; выходной, пт.; выходной, сб.; выходной, вс.",
Минская Фармация Аптека N114,"Молодечно, аг. Березинское, ул. Октябрьская, 10",(0176) 590978,"08.00-16.20, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:00-12:20; Праздничные дни: выходной;",
Гомельское УП Фармация Аптека N190/9,"Мозырь, ул. Нелидова, 3А-109",(0236) 202274,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Перерыв: 13:30-14:00;",
Биотест ООО НПК Аптека N9,"Гродно, ул. Поповича, 24-23",(0152) 391673,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: третья суббота каждого месяца с 9:00 до 11:00;",
Добрыя Леки Аптека N47 ОДО Амадей,"Жлобин, ул. Козлова, 37А",моб. 5355757,"08.30-20.30, пн.–пт.; 08.30-20.30, сб.; 08.30-20.30, вс.",
Гродненское РУП Фармация Аптека N169,"Гродно, ул. Воинов-Интернационалистов, 12-218",(0152) 658408,"09.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Скажи здоровью ДА! магазин медтехники N4 ООО Яндейл,"Несвиж, ул. Ленинская, 11",(01770) 25736,"09.00-19.00, пн.–пт.; 09.00-17.00, сб.; 09.00-14.00, вс.",
АльфаАптека Аптека N17 ОДО Аленфарм плюс,"Минск-Советский, ул. Максима Богдановича, 134",(017) 3553421,"10.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: последний понедельник месяца с 9.00 до 11.00;",
Медицинский магазин N15 Польза,"Лида, ул. Мицкевича, 15",(029) 3189443,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Зялёная крама Торговый объект N720 ООО Ирина-Фарм,"Бобруйск, ул. Минская, 111, маг. Евроопт",7822 - А1+mts,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Зялёная крама Торговый объект N31 ООО Ирина-Фарм,"Минск-Первомайский, пр-т Независимости, 119, 19-я городская пол-ка",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Медтехника УП Магазин Оптика N12,"Гомель, ул. Богданова, 12/3-1, детская пол-ка",(0232) 300121,"09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:30-13:00; праздничные дни: выходной",
АльфаАптека Аптека N6 Не Ска ООО,"Минск-Фрунзенский, ул. Иосифа Жиновича, 7, магазин Green",(017) 2505781,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 11.00;",
Арника-Люкс ООО Аптека N10,"Лида, ул. Тухачевского, 71-106",(044) 5073510,"09.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-18.00, вс.",
Планета Здоровья Аптека N8 ООО Нелли-фарм,"Мозырь, д. Козенки, ул. Ленина, 28, агрогородок Козенки",+375236247339,"09.00-18.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.; Санитарный день первый вторник месяца 9:00-12:00",
Гомельское УП Фармация Аптека N136,"Лельчицы, аг. Милошевичи, ул. Почтовая, 1",(02356) 43539,"09.00-16.30, пн.–пт.; 09.00-14.30, сб.; выходной, вс.; Перерыв: 13.00 - 13.30;",
Брестское РУП Фармация Аптека N166,"Каменец, аг. Беловежский, ул. Парковая, 4, в здании амбулатории",(01631) 42528,"09.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-14:00; Праздничные дни: выходной;",
Добрыя Леки-Эканом Аптека N91 ООО Аптека групп Центр,"Минск-Советский, ул. Куйбышева, 48, маг. Мила",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 10.00-19.00, вс.",
Минская Фармация Аптека N37,"Минск-Фрунзенский, аг. Ратомка, ул. Привокзальная, 13А",(017) 5159140,"09.00-17.30, пн.–пт.; выходной, сб.; выходной, вс.",
Аптека Бережливых N2 Фармпроект ООО,"Минск-Фрунзенский, ул. Матусевича, 66-164",(017) 3600367,"08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00;",
Добрыя леки-Эканом Аптека N23 ЗАО Аптека групп Юг,"Бобруйск, ул. Дзержинского, 50",моб. 5355757,"08.00-20.00, пн.–пт.; 08.00-19.00, сб.; 08.00-19.00, вс.",
Медтехника РУП Магазин Оптика N8,"Костюковичи, ул. Юношеская, 111",(02245) 70128,"08.00-17.30, пн.–пт.; 08.00-12.00, сб.; выходной, вс.; Обеденный перерыв: 13.30-14.00;",
АльфаАптека Аптека N19 ГаленаФарм ООО,"Мозырь, б-р Дружбы, 8А",(0236) 224531,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарный день: первый понедельник каждого месяца с 9:00 до 11:00;",
АльфаАптека Аптека N12 Беллерофон ООО,"Дзержинск, ул. Минская, 45, пом. 91",(01716) 75265,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный день: первый вторник каждого месяца с 9:00 до 11:00;",
Искамед ООО Аптека N20,"Минск-Московский, ул. Московская, 16",(017) 2488283,"08.00-21.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.; Санитарные часы: четвертый четверг каждого месяца с 8:00 до 11:00;",
Добрыя Леки Аптека N49 ЗАО Аптека групп Север,"Новополоцк, ул. Молодежная, 133, маг. Маяк",моб. 5355757,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
АльфаАптека Аптека N19 Не Ска ООО,"Гомель, ул. Хатаевича, 9, маг. Евроопт",(0232) 539193,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: первый четверг каждого месяца с 9:00 до 11:00;",
Добрыя Леки Аптека N59 ООО Аптека групп Центр,"Мачулищи, ул. Молодежная, 29",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки Аптека N51 ООО Аптека групп Запад,"Гродно, ул. Малыщинская, 5-107",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Минская Фармация Аптека N14,"Дзержинск, д. Станьково, ул. Казея, 36А",(01716) 76173,"08.00-15.30, пн.–пт.; 08.00-13.00, сб.; выходной, вс.",
Зялёная крама Торговый объект N901 ООО Ирина-Фарм,"Гродно, ул. Тимирязева, 8, островок в Евроопт",7822 - А1+mts,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Гродненское РУП Фармация Аптека N240,"Островец, ул. Володарского, 2",(01591) 73542,"10.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",
WDL оптика N4,"Минск-Ленинский, пр-т Рокоссовского, 2, ТЦ Гиппо",(044) 5040536,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
АльфаАптека Аптека N8 ОДО Салюслайн,"Гродно, пр-т Клецкова, 13-63",(0152) 315121,"08.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-21.00, вс.; Санитарные часы: третий среда месяца с 8.00  до 10.00;",
Гомельское УП Фармация Аптека N55,"Чечерск, ул. 50 лет БССР, 34",(02332) 78504,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-16.30, вс.; Перерыв в воскресенье: 13:00-13:30;",
Искамед ООО Аптека N8,"Жлобин, 1-й Микрорайон, 1А, пом. 1А",(02334) 20120,"08.00-20.00, пн.–пт.; 08.00-18.00, сб.; 08.00-18.00, вс.; Санитарные часы: первый понедельник каждого месяца с 8:00 до 11:00;",
Витебское УП Фармация Аптека N381,"Шарковщина, г.п. Шарковщина, ул. Максима Горького, 6, маг. ЕвроХИТ",(02154) 60911,"10.00-19.00, пн.–пт.; 10.00-15.00, сб.; выходной, вс.",
АльфаАптека Аптека N17 ОДО Меджел,"Островец, ул. Володарского, 45В, маг. Белмаркет",(01591) 29607,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй вторник месяца с 9.00 до 11.00;",
АльфаАптека Аптека N4 ОДО Аленфарм плюс,"Барановичи, ул. Домейко, 1",(0163) 643176,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первая среда каждого месяца с 9:00 до 11:00;",
Медвакс СЗАО Аптека N29,"Гомель, ул. Мазурова, 1, пом. 102, маг. Green",(0232) 509981,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарный день: второй вторник месяца",
Добрыя Леки-Эканом Аптека N10 ЗАО Аптека групп Юг,"Могилев, пр-т Витебский, 25",моб. 5355757,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
АльфаАптека Аптека N17 Не Ска ООО,"Гомель, ул. Юбилейная, 8-3, ТЦ Юбилейный, слева, проход между киоском Беласоюздрук",(0232) 347996,"08.00-20.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Санитарные часы: первый четверг каждого месяца с 8:00 до 10:00;",
Добрыя Леки-Эканом Аптека N35 ОДО Амадей,"Гомель, ул. Юбилейная, 8-2",моб. 5355757,"08.00-21.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
Добрыя леки Аптека N49 ООО Аптека групп Запад,"Гродно, ул. Антонова, 11",моб. 5355757,"08.00-20.00, пн.–пт.; 08.00-18.00, сб.; 08.00-18.00, вс.",
Белфармация Аптека N104 (филиал 2),"Минск-Центральный, ул. Мястровская, 27, маг. Лебяжий супермаркет Виталюр, 1 этаж",(017) 3019922,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: первый понедельник каждого месяца с 12:00 до 16:00;",
Гомельское УП Фармация Аптека N84/3,"Лельчицы, аг. Тонеж, ул. Хаевского, 6А",(02356) 44519,"09.00-16.30, пн.–пт.; 09.00-14.30, сб.; выходной, вс.; Перерыв: 13.00-13.30;",
Лигматон ООО Аптека N1,"Минск-Фрунзенский, ул. Кальварийская, 24, ТЦ Корона",(017) 2701129,"09.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.; Санитарные часы: второй понедельник каждого месяца с 9.00 до 12.00",
Медпростор Салон медтехники и ортопедии N14,"Гомель, пр-т Ленина, 26-72",(0232) 339436,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
АльфаАптека Аптека N4 ГаленаФарм ООО,"Пинск, ул. Гуренковой, 3",(0165) 624226,"09.00-19.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: третий понедельник месяца с 9.00 до 11.00;",
Гродненское РУП Фармация Аптека N56,"Мосты, ул. Зеленая, 92А-2, рядом с маг. Нива",(01515) 68646,"09.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 14.00-15.00; Праздничные дни: выходной",
Медпростор Салон медтехники и ортопедии N6,"Бобруйск, пр-т Строителей, 37",(0225) 726440,"08.00-19.30, пн.–пт.; 08.00-14.00, сб.; выходной, вс.",
Минская Фармация Аптека N142,"Молодечно, пос. Чисть, ул. Садовая, 23",(0176) 707327,"08.00-18.00, пн.–пт.; 08.30-17.00, сб.; выходной, вс.; Перерыв в субботу: 13:00-13:30; Праздничные дни: выходной;",
Тишас ОДО Аптека N13,"Солигорск, ул. Ленинского Комсомола, 40А",(0174) 236278,"09.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
АльфаАптека Аптека N5 ОДО Меджел,"Солигорск, ул. Кольцевая, 4",(0174) 334263,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.; Санитарные часы: первый вторник каждого месяца с 10:00 до 12:00;",
Медтехника РУП Магазин Оптика N5,"Кричев, ул. Комсомольская, 13а",(02241) 34389,"08.30-18.00, пн.–пт.; 09.00-14.00, сб.; выходной, вс.",
Добрыя Леки Аптека N39 ООО Аптека групп Запад,"Гродно, ул. Центральная, 12",моб. 5355757,"10.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Искамед ООО Аптека N69,"Лида, ул. Машерова, 5",(0154) 610105,"09.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: первый понедельник каждого месяца с 9:00 до 11:00;",
Добрыя Леки Аптека N4 ЗАО Аптека групп Север,"Витебск, пр-т Фрунзе, 53",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Медпростор Салон медтехники и ортопедии N12,"Могилев, пр-т Пушкинский, 55",(029) 1037030,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
АльфаАптека Аптека N7 ЗАО Компания Интерфарм,"Браслав, ул. Советская, 121",(02153) 64356,"08.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Санитарные часы: последняя суббота месяца с 16.00 до 18.00;",
